3athlon
ASC
AC
ACP
all blacks
Athletic Team
CA
CARC,
CS
Durchgangszentrum
HG
GG
Marathonteam
LäuferGruppe
Freeletics
RC
FC
Fc
LAC
ca
Tv
free Runners
lac
Fit4Fun
Footing Club
Footing-Club
Footing-club
footing Club
RMC
WahtsApp Runners
ESS
ESV
Laufträff
Faustball TV
Free Runners
FSG
GS
D
HotWheels
Jogger Träff
Jogging
Jugendriege
Kollektivunterkunft
KTV
Lauf Team
eyzälg runners
OLG
Männerriege
Stadtpräsident von
Saturday Afternoon Games
MSC
VT
Triathlöwen
Marathon
Spital
Marathon Team
Läufergruppe
Läufergruppe TSV
Läuferriege
Lauffreunde
Laufgruppe
lauftreff
Lauftreff
Lauftreff Bircher
Lauf-Treff
Laufsportverein Region
Laufteam
Footing Club
Kesselläufer
TTP
LATV
TSV
Radiator Verband
Lc
LC
LCA
LFT
Lg
LG
LL
LR
Lsg
LSG
LSV
lsv
LT
LV
tv
memler.de
Migros
MR
TSG
TTC
GSC
VFL
OS
OL
OL Regio
ol regio
BFE Berufsfachschule
Laufsportverein
LZ
OLK
Physio Willems
Racers
RunningTeam
SC
SPL Società Podistica
Sportclub
Sportliches
Nordic Sports Team
EGS
Haudegen
Joggerträff
Squash Club
SSC
ST
Tri-Club
SVKT
Rushteam
EHC
WhatsAppRunners
FG
Karateclub
DTV
3 Athlon
Nimzowitsch
CC
Crazy Turtles
Läufergroppe
olg
Lindejoggerinnen
Team
STV
SV
Swiss Lauftreff
TRI
Triathlon
Triathlon Club
Laufteff
Triatholon Club
footing-club
Trigether
GP
Laufsportclub
ACM
Loufträff
Tri
tri club
Tria
LSC
Läuferfreunde
SPORTLICHES
Gymnasium
BFE
MSM -
KSM -
ausserkantonal - KOG
Energie Wasser
Blue-Sharks
VBC
Läuferverein
FTV
frontrunners
SwissLauftreff
Jugi
Unione Sportiva
Società podistica
LAV
White Wings
CC
UHT
Wandergugge
BC
Lüüferchibä
TriTeam
Triteam
Sporteam
MTV
TC
AS
Laufsportfreunde
tri team
Tri Team
Wizards
Footing de
Fitnessklub
Tri Club
TOLL
LT Rennhamster
Laufgrupe
Team
Rennhamster
SSV 98
Moderner 5-Kampf
Club 13*
13* -- Triathlon Club
AV'23
LSVB
Jugi TV
SSC
run & walk
Triclub
OLV
Turnverein
Freerunners
lv 95
RSC
City runners
SHR
Traplife
Cross-Club
Sportgruppe UOV
SFC
LLG
RRC
Optik
TV
BSG Sparkasse
Biomedical Engineering Club
Die Helden von
Runners Club
RCB
btv
JO
SK
BTV
Inselspital
Bürgerspital
Vaudoise Jogging
UHC
Running Team
Tri-Team
Stv
Mila
Sportgruppe
stv
UHC White Wings
SAL
US
USC
VC
VC Tornado
VMC
Wacker
Fröschmätteler Loufgruppe
LVF
Club da skis
MILA
Laufseminar
läufergruppe
Roche run&bike; LSV
